time,ms,equity,cash
2026-09-08 17:34,1788881662546,10000.0,10000.0
2026-09-08 17:44,1788882265782,10000.0,10000.0
2026-09-09 00:00,1788904811104,10000.0,10000.0
2026-09-09 00:10,1788905413336,10000.0,10000.0
2026-09-09 11:02,1788944567224,10000.9509,6775.351
2026-09-09 17:44,1788968665225,9992.351,6775.351
2026-09-10 00:05,1788991555476,10018.1509,6775.351
2026-09-10 11:48,1789033701124,10021.951,6775.351
2026-09-10 17:39,1789054780410,10024.151,6775.351
2026-09-11 00:01,1789077671009,9992.351,6775.351
2026-09-11 11:33,1789119228533,10052.5509,6775.351
2026-09-11 17:35,1789140912908,10054.151,6775.351
2026-09-12 00:06,1789164402753,10024.151,6775.351
2026-09-12 11:08,1789204139223,10054.151,6775.351
2026-09-14 17:40,1789400441672,10049.751,6775.351
2026-09-15 00:02,1789423330304,10054.151,6775.351
2026-09-15 10:44,1789461871816,10006.6761,4811.976
2026-09-15 17:36,1789486561572,10046.976,4811.976
2026-09-16 00:07,1789510052203,10046.3761,4811.976
2026-09-16 10:59,1789549188068,10077.9761,4811.976
2026-09-16 17:41,1789573285170,10090.476,4811.976
2026-09-17 00:03,1789596180524,10046.976,4811.976
2026-09-17 11:19,1789636771643,10132.8761,4811.976
2026-09-17 17:41,1789659664234,10163.976,4811.976
2026-09-18 00:02,1789682550869,10090.476,4811.976
2026-09-22 03:02,1790038970726,10075.376,4811.976
2026-09-22 03:08,1790039294903,10075.376,4811.976
2026-09-22 10:37,1790066258942,10152.5759,4811.976
2026-09-22 17:42,1790091729781,10115.5214,900.3714
2026-09-23 00:05,1790114756218,10165.1713,900.3714
2026-09-23 14:55,1790168109237,10069.4714,900.3714
2026-09-23 17:36,1790177817432,10060.6714,900.3714
